"ENG.CIVIL 1","ENCIV0107 - EXPRESSAO GRÁFICA I",2,50,
"ENG.CIVIL 1","ENCIV0156 - INTRODUÇÃO A ENGENHARIA CIVIL",2,50,
"ENG.CIVIL 1","MAT0064 - CÁLCULO I",3,50,
"ENG.CIVIL 1","MAT0067 - VETORES E GEOMETRIA ANALÍTICA",2,50,
"ENG.CIVIL 2","ENCIV0096 - TOPOGRAFIA I",2,50,
"ENG.CIVIL 2","ENCIV0108 - EXPRESSÃO GRÁFICA II",3,50,
"ENG.CIVIL 2","ENCIV0155 - METODOLOGIA E COMUNICAÇÃO CIENTÍFICA",1,50,
"ENG.CIVIL 2","ESTAT0011 - ESTATISTICA APLICADA",2,50,
"ENG.CIVIL 2","FISI0149 - FÍSICA A",2,50,
"ENG.CIVIL 2","MAT0065 - CÁLCULO II",3,50,
"ENG.CIVIL 2","MAT0096 - CÁLCULO NUMÉRICO I",2,50,
"ENG.CIVIL 3","ENCIV0076 - ISOSTÁTICA",3,50,
"ENG.CIVIL 3","ENCIV0097 - TOPOGRAFIA II",2,50,
"ENG.CIVIL 3","ENCIV0109 - DESENHO ARQUITETÔNICO",2,50,
"ENG.CIVIL 3","MAT0066 - CÁLCULO III",2,50,
"ENG.CIVIL 4","ENCIV0077 - RESISTÊNCIA DOS MATERIAIS I",3,50,
"ENG.CIVIL 4","ENCIV0131 - MATERIAIS DE CONSTRUÇÃO I",2,50,
"ENG.CIVIL 4","ENCIV0160 - MECÂNICA DOS SOLOS I",2,50,
"ENG.CIVIL 5","ENCIV0078 - RESISTÊNCIA DOS MATERIAIS II",2,50,
"ENG.CIVIL 5","ENCIV0098 - ENGENHARIA DE TRANSPORTES",2,50,
"ENG.CIVIL 5","ENCIV0132 - MATERIAIS DE CONSTRUÇÃO II",2,50,
"ENG.CIVIL 5","ENCIV0135 - ENGENHARIA ECONÔMICA",2,50,
"ENG.CIVIL 5","ENCIV0146 - MECÂNICA DOS SOLOS II",3,50,
"ENG.CIVIL 5","ENCIV0161 - HIDRÁULICA",3,50,
"ENG.CIVIL 6","ENCIV0079 - HIPERESTÁTICA",2,50,
"ENG.CIVIL 6","ENCIV0086 - CONCRETO ARMADO I",3,50,
"ENG.CIVIL 6","ENCIV0091 - ESTRUTURA DE AÇO I",2,50,
"ENG.CIVIL 6","ENCIV0093 - ESTRUTURAS DE MADEIRA I",1,50,
"ENG.CIVIL 6","ENCIV0116 - HIDROLOGIA APLICADA",3,50,
"ENG.CIVIL 6","ENCIV0123 - SANEAMENTO E MEIO AMBIENTE",2,50,
"ENG.CIVIL 6","ENCIV0136 - ADMINISTRAÇÃO DE OBRAS",2,50,
"ENG.CIVIL 7","ENCIV0081 - ANÁLISE ESTRUTURAL",2,50,
"ENG.CIVIL 7","ENCIV0087 - CONCRETO ARMADO II",2,50,
"ENG.CIVIL 7","ENCIV0099 - ESTRADAS E FERROVIAS I",2,50,
"ENG.CIVIL 7","ENCIV0115 - INSTALAÇÕES HIDRO-SANITÁRIAS",2,50,
"ENG.CIVIL 7","ENCIV0117 - SISTEMAS DE DRENAGEM URBANA",2,50,
"ENG.CIVIL 7","ENCIV0137 - TECNOLOGIA DAS CONSTRUÇÕES",3,50,
"ENG.CIVIL 8","ENCIV0082 - PONTES",2,50,
"ENG.CIVIL 8","ENCIV0100 - ESTRADAS E FERROVIAS II",2,50,
"ENG.CIVIL 8","ENCIV0124 - SISTEMAS DE ABASTECIMENTO DE ÁGUA",2,50,
"ENG.CIVIL 8","ENCIV0125 - SISTEMAS DE ESGOTAMENTO SANITÁRIO",2,50,
"ENG.CIVIL 8","ENCIV0138 - PLANEJAMENTO DE OBRAS",2,50,
"ENG.CIVIL 8","ENCIV0139 - GERENCIAMENTO DE OBRAS",2,50,
"ENG.ELETRICA 1","ELET0036 - INTRODUÇÃO À ENGENHARIA ELÉTRICA",1,50,
"ENG.ELETRICA 1","ENCIV0105 - DESENHO TÉCNICO",2,50,
"ENG.ELETRICA 1","MAT0064 - CÁLCULO I",3,50,
"ENG.ELETRICA 1","MAT0067 - VETORES E GEOMETRIA ANALÍTICA",2,50,
"ENG.ELETRICA 3","ELET0076 - CIRCUITOS DIGITAIS",3,50,
"ENG.ELETRICA 3","FISI0150 - FÍSICA B",2,50,
"ENG.ELETRICA 3","FISI0153 - LABORATÓRIO DE FÍSICA B",1,30,
"ENG.ELETRICA 3","MAT0066 - CÁLCULO III",2,50,
"ENG.ELETRICA 3","MAT0075 - CÁLCULO IV",3,50,
"ENG.ELETRICA 3","MAT0096 - CÁLCULO NUMÉRICO I",2,50,
"ENG.ELETRICA 5","ELET0038 - CIRCUITOS ELETRICOS II",2,50,
"ENG.ELETRICA 5","ELET0039 - ELETROMAGNETISMO",2,50,
"ENG.ELETRICA 5","ELET0109 - MODELAGEM E SIMULAÇÃO",2,50,
"ENG.ELETRICA 5","ELET0111 - ELETRÔNICA I",3,50,
"ENG.ELETRICA 5","ELET0132 - PRINCIPIOS DE COMUNICACOES",2,50,
"ENG.ELETRICA 7","ELET0032 - METODOLOGIA E COMUNICAÇÃO CIENTÍFICA",1,50,
"ENG.ELETRICA 7","ELET0055 - GERAÇÃO DE ENERGIA ELÉTRICA",2,50,
"ENG.ELETRICA 7","ELET0136 - ELETRONICA DE POTENCIA",2,50,
"ENG.ELETRICA 7","ELET0137 - SISTEMAS ELETRICOS DE POTENCIA I",2,50,
"ENG.ELETRICA 7","ELET0138 - OPERACAO E CONTROLE DE SISTEMAS DE POTENCIA",2,50,
"ENG.ELETRICA 7","EQUI0108 - ECOLOGIA E CONTROLE DA POLUIÇÃO",2,50,
"ENG.ELETRONICA 1","MAT0064 - CÁLCULO I",3,50,
"ENG.ELETRONICA 1","MAT0067 - VETORES E GEOMETRIA ANALÍTICA",2,50,
"ENG.ELETRONICA 2","COMP0197 - PROGRAMAÇÃO IMPERATIVA",3,50,
"ENG.ELETRONICA 2","ENCIV0075 - RESISTÊNCIA DOS MATERIAIS",2,50,
"ENG.ELETRONICA 2","FISI0149 - FÍSICA A",2,50,
"ENG.ELETRONICA 2","FISI0152 - LABORATÓRIO DE FÍSICA A",1,30,
"ENG.ELETRONICA 2","MAT0065 - CÁLCULO II",3,50,
"ENG.ELETRONICA 2","MAT0078 - ÁLGEBRA LINEAR I",2,50,
"ENG.ELETRONICA 4","ELET0030 - ANÁLISE DE SISTEMAS LINEARES",2,50,
"ENG.ELETRONICA 4","ELET0037 - CIRCUITOS ELÉTRICOS I",2,50,
"ENG.ELETRONICA 4","ELET0043 - INTRODUÇÃO À INSTRUMENTAÇÃO",1,50,
"ENG.ELETRONICA 4","ELET0131 - PROBABILIDADE",2,50,
"ENG.ELETRONICA 4","EQUI0099 - FENÔMENOS DE TRANSPORTE I",3,50,
"ENG.ELETRONICA 4","FISI0151 - FÍSICA C",2,50,
"ENG.ELETRONICA 4","FISI0154 - LABORATÓRIO DE FÍSICA C",1,30,
"ENG.ELETRONICA 6","ELET0032 - METODOLOGIA E COMUNICAÇÃO CIENTÍFICA",1,50,
"ENG.ELETRONICA 6","ELET0044 - MATERIAIS ELÉTRICOS",2,50,
"ENG.ELETRONICA 6","ELET0112 - ELETRÔNICA II",3,50,
"ENG.ELETRONICA 6","ELET0133 - REDES DE COMUNICACOES",2,50,
"ENG.ELETRONICA 6","ELET0134 - CONVERSAO DE ENERGIA",2,50,
"ENG.ELETRONICA 6","ELET0135 - CONTROLE",3,50,
"ENG.ELETRONICA 8","ELET0034 - LEGISLACAO E ÉTICA PROFISSIONAL",2,50,
"ENG.ELETRONICA 8","ELET0077 - MICROCONTROLADORES",3,50,
"ENG.MECANICA 1","COMP0197 - PROGRAMAÇÃO IMPERATIVA",3,50,
"ENG.MECANICA 1","ENMEC0099 - ENGENHARIA MECÂNICA DESENVOLVIMENTO E MEIO AMBIENTE",2,50,
"ENG.MECANICA 1","MAT0064 - CÁLCULO I",3,50,
"ENG.MECANICA 1","MAT0067 - VETORES E GEOMETRIA ANALÍTICA",2,50,
"ENG.MECANICA 2","ELET0032 - METODOLOGIA E COMUNICAÇÃO CIENTÍFICA",1,50,
"ENG.MECANICA 2","ESTAT0011 - ESTATISTICA APLICADA",2,50,
"ENG.MECANICA 2","FISI0149 - FÍSICA A",2,50,
"ENG.MECANICA 2","FISI0152 - LABORATÓRIO DE FÍSICA A",1,30,
"ENG.MECANICA 2","MAT0065 - CÁLCULO II",3,50,
"ENG.MECANICA 2","MAT0078 - ÁLGEBRA LINEAR I",2,50,
"ENG.MECANICA 3","ENMEC0108 - METROLOGIA",2,50,
"ENG.MECANICA 3","ENMEC0143 - RECURSOS ENERGÉTICOS E O MEIO AMBIENTE",1,50,
"ENG.MECANICA 3","FISI0150 - FÍSICA B",2,50,
"ENG.MECANICA 3","FISI0153 - LABORATÓRIO DE FÍSICA B",1,30,
"ENG.MECANICA 4","ENMEC0116 - MECÂNICA DOS MATERIAIS",2,50,
"ENG.MECANICA 4","ENMEC0147 - TERMODINÂMICA PARA ENGENHARIA MECÂNICA",3,50,
"ENG.MECANICA 4","FISI0151 - FÍSICA C",2,50,
"ENG.MECANICA 4","FISI0154 - LABORATÓRIO DE FÍSICA C",1,30,
"ENG.MECANICA 4","MAT0075 - CÁLCULO IV",3,50,
"ENG.MECANICA 4","MAT0096 - CÁLCULO NUMÉRICO I",2,50,
